Amount,Time,category,state,city_pop,lat,long,merch_lat,merch_long
52.63,8730060.0,gas_transport,NY,1228,42.0716,-75.0152,41.113439,-75.345486
2.57,21502380.0,health_fitness,MT,218,45.8433,-113.8748,46.355065,-114.41612
40.03,16296540.0,personal_care,MI,6951,42.9147,-83.4845,43.729591,-84.393697
2.83,5293860.0,shopping_pos,AL,67082,34.048,-85.9246,35.014388,-85.854761
99.3,18186180.0,grocery_pos,PA,1946,39.9961,-79.7678,40.981672,-80.441599
6.13,2405520.0,home,NJ,30770,40.4109,-74.238,40.939531,-74.429812
50.23,15684420.0,kids_pets,MS,595,32.9013,-91.0286,33.782242,-90.799571
71.89,13127520.0,grocery_pos,RI,203571,41.8383,-71.4377,41.286519,-71.07855
62.83,9062400.0,home,UT,9772,38.5677,-109.5271,37.900876,-109.484572
76.34,16722720.0,health_fitness,IL,2135,41.0646,-87.5917,40.579483,-88.582891
8.13,18463620.0,health_fitness,TX,95035,32.9276,-97.2489,32.63038,-97.942587
7.72,14130780.0,shopping_net,ME,3224,44.0575,-69.9656,43.135304,-69.450807
55.08,16268580.0,grocery_pos,NM,18408,35.9866,-106.0654,36.263416,-105.233165
2.56,120060.0,misc_net,TX,24536,32.3836,-94.8653,32.893361,-95.509369
42.98,17308320.0,grocery_net,MD,3766,39.6991,-78.1762,40.681815,-78.398284
2.2,3325080.0,shopping_net,WY,471,43.0172,-111.0292,43.244343,-111.527918
56.43,2862300.0,gas_transport,MN,914,44.1111,-94.9134,44.69722,-95.569285
33.54,4886400.0,personal_care,OH,7646,41.2419,-81.7453,41.320899,-81.588457
36.2,10812360.0,misc_pos,NC,885,35.9946,-81.7266,35.754641,-82.667763
1.03,18535740.0,personal_care,NV,276896,39.5483,-119.7957,38.57739,-119.41905
58.72,5220780.0,gas_transport,LA,6581,32.3929,-91.4714,32.35843,-91.538942
226.94,20994480.0,personal_care,CA,633,37.7773,-119.0825,38.671409,-118.225375
57.14,21078720.0,home,VA,104396,38.8029,-77.2116,38.255005,-77.6636
2.16,5685900.0,shopping_net,FL,79613,27.9551,-82.2966,28.582183,-81.568096
28.04,16218960.0,food_dining,OR,260,43.7857,-124.1437,44.780965,-123.633629
164.13,9907680.0,food_dining,KY,13422,36.802,-87.8286,36.004538,-88.300213
44.11,241860.0,home,CA,381459,37.7878,-122.1884,38.685906,-121.295995
30.85,12192720.0,misc_pos,OH,341,39.283,-82.3977,39.036661,-82.230263
81.46,3101100.0,shopping_pos,MD,313,38.0828,-76.3477,38.677163,-76.340318
53.29,18880380.0,kids_pets,NY,1453,42.2701,-78.6847,41.906158,-78.991572
78.8,1284480.0,entertainment,PA,2054,40.8555,-79.7372,40.714396,-79.016801
125.21,8487120.0,grocery_pos,MS,1196,31.6453,-90.1801,32.004688,-90.430809
130.65,17102940.0,kids_pets,NC,6629,35.8072,-78.0892,35.80696,-77.31078
5.72,14335200.0,personal_care,CA,337,38.2427,-122.9145,37.330284,-123.601293
199.17,4144680.0,home,AR,1679,36.3924,-91.9932,36.398395,-91.938422
11.81,20038200.0,food_dining,MS,1196,31.6453,-90.1801,31.564224,-89.507969
18.3,19846320.0,kids_pets,NY,1382480,40.8798,-73.9067,41.470837,-73.886059
3.99,14313660.0,travel,MI,2523,42.3703,-84.2485,42.798892,-84.754724
117.9,22783500.0,entertainment,NJ,2456,41.0767,-74.5982,41.426247,-74.446089
42.01,4799100.0,kids_pets,OH,31394,39.1657,-84.233,39.878712,-83.650581
28.59,20971260.0,health_fitness,OR,1530,45.5197,-123.8761,44.954507,-123.450265
61.77,3545100.0,gas_transport,NY,9993,41.1901,-74.0436,41.54239,-74.876306
5.7,18986580.0,personal_care,KY,564,38.4921,-85.4524,38.571706,-85.689111
148.57,22978860.0,food_dining,CA,54287,33.7467,-117.1721,33.556811,-117.50947
32.03,6435900.0,entertainment,FL,459921,26.7197,-80.1248,26.728861,-79.875363
5.91,15508620.0,misc_net,LA,71335,30.459,-90.9027,29.701789,-90.967265
178.25,18736020.0,shopping_pos,IN,1423,41.4802,-86.6919,40.485099,-86.741652
9.15,8371620.0,shopping_net,TX,1766,30.592,-97.2893,30.520613,-97.194926
9.83,21601620.0,shopping_pos,VA,4367,38.6476,-78.7717,37.936606,-78.50932
170.03,17992560.0,grocery_pos,WV,2443,37.5802,-80.5248,37.386038,-80.097054
5.89,14242860.0,travel,KS,163415,39.1329,-95.7023,38.783433,-95.610629
63.47,5907960.0,gas_transport,KY,736284,38.2507,-85.7476,38.7397,-85.981207
51.73,1058820.0,gas_transport,KS,163415,39.1329,-95.7023,39.975231,-95.884098
114.37,13826520.0,misc_net,AR,1383,34.4596,-93.6743,34.373075,-93.972959
8.42,8694420.0,misc_net,TX,1766,30.592,-97.2893,29.714354,-96.843983
57.96,5955420.0,kids_pets,MA,76383,42.6911,-71.1605,43.252027,-70.995399
108.09,11431620.0,grocery_pos,AZ,759,35.2563,-111.95,35.825986,-111.703289
743.82,7639680.0,shopping_pos,AR,37,35.1791,-91.2594,36.15388,-91.801934
68.38,20747580.0,gas_transport,VA,43102,38.7894,-77.2818,37.919867,-77.337332
